	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
1	2010	GLDAS	2	706222.8179957124	0.11880199222493215	2.1386939036823946	845364.087785848	0.1422085710419242	417348.95051733917	0.07020714356859753
2	2010	GLDAS	3	238654.48970282843	0.04014686032176989	2.1386939036823946	219099.36115329296	0.03685726365241732	270969.67169127456	0.04558297467762454
0	2005	GPCC	1	1757534.3742156024	0.2956553933688965	1.0267189653155913	3139215.593399718	0.5280841357942688	2760325.7287177015	0.4643466444373529
1	2005	GPCC	2	141245.50055901508	0.023760556061954707	1.0267189653155913	332008.33425314096	0.05585100132631766	338180.44021638954	0.056889283389673154
2	2005	GPCC	3	110639.76934147163	0.01861200839471261	1.0267189653155913	0.0	0.0	9214.900234190369	0.0015501460418437742
0	2010	GPCC	1	2131748.317636274	0.3586062933736508	1.894328382827233	3186816.9203863908	0.5360917112144694	3189071.447192074	0.5364709715119487
1	2010	GPCC	2	450677.74884042435	0.07581377017191629	1.894328382827233	289845.6301965696	0.04875832021792944	144971.65002848528	0.024387375203195786
2	2010	GPCC	3	73617.10360996061	0.012383993192847617	1.894328382827233	30369.83240341239	0.005108864371307519	36974.133951650925	0.006219851104094877
0	2005	TRMM 6	1	1710020.3970258473	0.28766251207869276	1.0028740970607009	3585944.756140084	0.6032336681602051	3025065.499739279	0.5088816147287358
1	2005	TRMM 6	2	109368.5851092955	0.01839816764159727	1.0028740970607009	191034.30056951405	0.03213611187948411	79428.89401133746	0.013361662365357267
2	2005	TRMM 6	3	55151.55461699167	0.009277687432127894	1.0028740970607009	12333.85079017764	0.00207482115890378	6150.23955261823	0.001034603658920656
0	2010	TRMM 6	1	2589823.089093277	0.4356644031519769	2.3267992015681314	3367607.611136034	0.5665046257925276	4082089.37362074	0.6866959515733368
1	2010	TRMM 6	2	431703.0571475745	0.07262181556846406	2.3267992015681314	387677.42715482233	0.06521574992059877	187484.50064556723	0.031538958555889056
2	2010	TRMM 6	3	141005.69054289145	0.023720214817031696	2.3267992015681314	36431.82259042482	0.006128622573271251	9256.73738699965	0.0015571839581728828
0	2005	TRMM 7	1	1628876.2171060117	0.27401230142804606	0.9653382700061363	3585944.756140084	0.6032336681602051	3380926.4020240046	0.568745135234022
1	2005	TRMM 7	2	113608.10727511004	0.019111347202702272	0.9653382700061363	191034.30056951405	0.03213611187948411	177829.52923634698	0.029914782999588805
2	2005	TRMM 7	3	73858.13910962277	0.012424540590676061	0.9653382700061363	12333.85079017764	0.00207482115890378	12284.320718150178	0.0020664891267434377
0	2010	TRMM 7	1	2384963.53319958	0.40120258353029226	2.049655709475426	3367607.611136034	0.5665046257925276	3718616.534857232	0.6255519382896733
1	2010	TRMM 7	2	405164.19400230044	0.06815740329983848	2.049655709475426	387677.42715482233	0.06521574992059877	311231.7184851976	0.052355924019230976
2	2010	TRMM 7	3	107917.26416416702	0.018154023987150682	2.049655709475426	36431.82259042482	0.006128622573271251	6177.744644093191	0.0010392306117467179
0	2005	GSWP 3	1	1665658.9177762412	0.28019994930303044	1.0497642749461404	3189698.8495378094	0.53657651419154	2819470.354298287	0.4742960529941491
1	2005	GSWP 3	2	162747.0262739232	0.02737757894158389	1.0497642749461404	329214.55352478864	0.05538102682547972	295010.2422626127	0.049627119960560434
2	2005	GSWP 3	3	113665.3289923422	0.019120973136377156	1.0497642749461404	3089.34285585122	0.000519694459862687	9220.30364714952	0.001551055013074955
0	2010	GSWP 3	1	2257206.686961088	0.3797111116226268	1.93902097843949	3325245.2337985756	0.5593783553084367	3524335.0446996093	0.5928695787070999
1	2010	GSWP 3	2	402375.2762624562	0.06768824685912016	1.93902097843949	260137.0367978732	0.04376069058599215	172820.13841096836	0.029072094835565346
2	2010	GSWP 3	3	67555.6923099203	0.011364332372225592	1.93902097843949	18147.09801305162	0.00305273540038001	15448.832205632832	0.0025988285804566208
0	2005	WATCH WFDEI	1	1735159.5660581416	0.2918914654455522	1.0860422440333213	3140901.0262258877	0.5283676621437552	2950854.9304100154	0.4963977877327686
1	2005	WATCH WFDEI	2	150446.68723393395	0.02530839518575443	1.0860422440333213	332220.9463908231	0.05588676729830866	334870.2230417315	0.05633243307979128
2	2005	WATCH WFDEI	3	138344.3053810301	0.023272512121437234	1.0860422440333213	6179.15634408205	0.0010394680902971508	12297.41844763133	0.002068692448862655
0	2010	WATCH WFDEI	1	2161154.219979178	0.36355300380623556	1.8188755348507304	3258624.8532211585	0.5481713626515833	3290824.7769963453	0.5535880880766265
1	2010	WATCH WFDEI	2	332971.7433362623	0.05601306762534667	1.8188755348507304	207872.9705755433	0.034968741316199134	145010.46745173694	0.024393905135531337
2	2010	WATCH WFDEI	3	70588.49524655099	0.011874515591623551	1.8188755348507304	27328.19578245372	0.0045971951346497	12359.489296009311	0.002079134111548268
