	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2005	ERA 5	1	1327723.1220893469	0.22335182042826446	0.7339308466533688	4169792.8181164423	0.7014495727614043	3133263.548847694	0.5270828728322495
1	2005	ERA 5	2	48979.26457713048	0.008239374403094517	0.7339308466533688	36908.13236028751	0.006208748205202092	187126.10204578086	0.03147866813963477
2	2005	ERA 5	3	24552.611713447608	0.004130281706503131	0.7339308466533688	6175.39166141432	0.001038834789036382	15330.974279087472	0.0025790023214965602
0	2010	ERA 5	1	1828260.651924987	0.30755308695854167	2.179802814154378	4229579.64605825	0.7115070136813308	4138522.656388183	0.6961892534742757
1	2010	ERA 5	2	579395.9123255806	0.09746695648635785	2.179802814154378	69581.97609309961	0.011705197243935591	370792.6422687439	0.062375362961071594
2	2010	ERA 5	3	305697.32326157263	0.051424918730853614	2.179802814154378	0.0	0.0	52405.00806575746	0.00881565874414075
0	2016	ERA 5	1	1119882.4394116262	0.1883885106366328	1.2761750244646162	2128503.2552903774	0.35806040351883023	748352.2352941404	0.12588907377878694
1	2016	ERA 5	2	342117.21920357656	0.057551534983234495	1.2761750244646162	600440.2071276153	0.10100706321152127	0.0	0.0
2	2016	ERA 5	3	370453.97672031453	0.06231839207196104	1.2761750244646162	67888.98823698565	0.011420399974584007	0.0	0.0
0	2005	GLDAS	1	1594807.755679665	0.26828124745137777	0.953584183780113	4055787.580862727	0.6822714196846515	3218201.523030414	0.5413712819452474
1	2005	GLDAS	2	131605.30852328506	0.022138866716761945	0.953584183780113	43187.30747227362	0.007265041621138829	306441.16073102306	0.05155004832311607
2	2005	GLDAS	3	64372.15904450637	0.010828793042982602	0.953584183780113	0.0	0.0	0.0	0.0
0	2010	GLDAS	1	1862948.1303166642	0.3133882730119829	2.0719860450067107	3971653.8248144425	0.668118297501104	3596852.10663623	0.6050685210364053
1	2010	GLDAS	2	611450.8899958909	0.10285929883344651	2.0719860450067107	93743.47607343725	0.01576968547578452	246634.10500524336	0.041489204651291654
2	2010	GLDAS	3	186025.332998256	0.03129349491598188	2.0719860450067107	0.0	0.0	18529.23388862584	0.0031170189411578054
0	2016	GLDAS	1	1848229.4390849243	0.31091226997623145	1.718445569531959	1974421.6602533902	0.33214053801867516	2818090.858236678	0.4740639918426124
1	2016	GLDAS	2	274243.3675516	0.0461336813104815	1.718445569531959	1529234.9139984837	0.2572504735524499	547256.4462268464	0.09206040135350106
2	2016	GLDAS	3	358191.27785164636	0.06025554020916406	1.718445569531959	818379.563453618	0.13766918889761834	251571.40825895604	0.042319766122562726
0	2005	TRMM 7	1	1480125.5761817142	0.2489892180098474	0.951796264706705	3383344.2335679634	0.5691518669296953	3113941.798556449	0.5238325354466816
1	2005	TRMM 7	2	149729.06132994054	0.025187674947192054	0.951796264706705	156966.8889034146	0.026405234495253126	300342.9023408053	0.05052418902290767
2	2005	TRMM 7	3	89040.18267950762	0.01497848953736528	0.951796264706705	27736.116033979994	0.004665816166589385	36972.87384194018	0.006219639126316418
0	2010	TRMM 7	1	1918494.8440305504	0.3227324347731194	2.061730181710009	3596314.902963108	0.6049781517294796	3650331.7066852916	0.6140649494543549
1	2010	TRMM 7	2	597115.4793419631	0.10044777190221174	2.061730181710009	134251.35469172682	0.022583989061041594	258584.04919000602	0.04349944439426065
2	2010	TRMM 7	3	212175.20884004197	0.03569247108508332	2.061730181710009	0.0	0.0	70999.42274611887	0.011943642507895143
0	2016	TRMM 7	1	1447361.2369199141	0.24347754566076868	1.686989517443955	3681513.1005589003	0.6193103360634258	1599848.7724067308	0.2691292557778635
1	2016	TRMM 7	2	347217.553585472	0.05840952182554889	1.686989517443955	847731.6404770389	0.14260684474427954	3071.71138752266	0.0005167284645565191
2	2016	TRMM 7	3	388172.46619884064	0.06529902622258145	1.686989517443955	98766.425275156	0.016614654452717863	0.0	0.0
0	2005	GPCC	1	1425008.4243577197	0.23971731787351627	1.035063292110356	2753453.9929943937	0.463190669477086	2464886.4720339286	0.4146473549480994
1	2005	GPCC	2	119331.45469461293	0.020074138347800183	1.035063292110356	258216.1611948975	0.04343755765593838	230323.5388746847	0.03874541373821097
2	2005	GPCC	3	211927.1573320167	0.03565074344250808	1.035063292110356	71039.59263248478	0.011950399953854286	157251.68752428118	0.026453143799058804
0	2010	GPCC	1	1816115.3818831937	0.3055099891708353	1.9125299533057445	3404191.947404431	0.572658904473649	3094626.029455114	0.520583204226957
1	2010	GPCC	2	440010.36631427996	0.07401928511190645	1.9125299533057445	75865.52521348691	0.012762226462934515	166384.44335549982	0.027989471371045044
2	2010	GPCC	3	218121.50842785346	0.03669276761954419	1.9125299533057445	3013.88220766689	0.000507000342495698	80311.62260585726	0.013510156456670397
0	2016	GPCC	1	1544136.046579708	0.25975716717937264	1.7072722518383525	2849321.298339296	0.479317629090956	1382770.4227248337	0.23261197007998569
1	2016	GPCC	2	291125.5575527927	0.04897363175410154	1.7072722518383525	536688.5503356161	0.09028265210282264	3040.7615146511303	0.0005115220248004639
2	2016	GPCC	3	327181.9140081307	0.055039092781576385	1.7072722518383525	334495.1298997925	0.056269334279530556	0.0	0.0
