	Year	Dataset	Condition	TotalAreaMCWD	RelativeAreaMCWD	DeltaAGB in PG per SM	TotalAreaSCPDSI	RelativeAreaSCPDSI	TotalAreaPrec	RelativeAreaPrec
0	2010	TRMM 7	1	3080297.881698491	0.5181728990725429	1.601826208523922	3596314.902963108	0.6049781517294796	3650331.7066852916	0.6140649494543549
1	2010	TRMM 7	2	403258.31210396637	0.06783679263603959	1.601826208523922	134251.35469172682	0.022583989061041594	258584.04919000602	0.04349944439426065
2	2010	TRMM 7	3	288316.977612067	0.04850116770482582	1.601826208523922	0.0	0.0	70999.42274611887	0.011943642507895143
0	2016	TRMM 7	1	2013042.2175033237	0.33863735322375543	1.4258391445665044	3681513.1005589003	0.6193103360634258	1599848.7724067308	0.2691292557778635
1	2016	TRMM 7	2	359939.1119866055	0.06054956381194311	1.4258391445665044	847731.6404770389	0.14260684474427954	3071.71138752266	0.0005167284645565191
2	2016	TRMM 7	3	465380.0105827062	0.07828700941127219	1.4258391445665044	98766.425275156	0.016614654452717863	0.0	0.0
0	2005	GPCC	1	1976126.9084371305	0.3324273977409952	1.4079258608620981	2753453.9929943937	0.463190669477086	2464886.4720339286	0.4146473549480994
1	2005	GPCC	2	366695.2915526917	0.06168609972076346	1.4079258608620981	258216.1611948975	0.04343755765593838	230323.5388746847	0.03874541373821097
2	2005	GPCC	3	264318.8820400266	0.0444641676378299	1.4079258608620981	71039.59263248478	0.011950399953854286	157251.68752428118	0.026453143799058804
0	2010	GPCC	1	2164421.0887367637	0.3641025619723679	1.3453741189172146	3404191.947404431	0.572658904473649	3094626.029455114	0.520583204226957
1	2010	GPCC	2	378458.20081409253	0.0636648761338247	1.3453741189172146	75865.52521348691	0.012762226462934515	166384.44335549982	0.027989471371045044
2	2010	GPCC	3	255000.25658120346	0.04289657276395132	1.3453741189172146	3013.88220766689	0.000507000342495698	80311.62260585726	0.013510156456670397
0	2016	GPCC	1	2227971.5775848217	0.3747931322706267	1.5037210490259096	2849321.298339296	0.479317629090956	1382770.4227248337	0.23261197007998569
1	2016	GPCC	2	291085.2207559747	0.048966846230184935	1.5037210490259096	536688.5503356161	0.09028265210282264	3040.7615146511303	0.0005115220248004639
2	2016	GPCC	3	456064.3147220296	0.07671990735932935	1.5037210490259096	334495.1298997925	0.056269334279530556	0.0	0.0
